,player1,player2,result,p1name,p2name
69,0,69,2,scyther,cresselia EX
70,0,70,2,scyther,parasect
71,0,71,2,scyther,venomoth
72,0,72,2,scyther,exeggutor
73,0,73,2,scyther,exeggutor
74,0,74,2,scyther,exeggutor EX
75,0,75,2,scyther,exeggutor EX
76,0,76,2,scyther,whimsicott
77,0,77,2,scyther,lilligant
78,0,78,2,scyther,gogoat
79,0,79,2,scyther,ninetales
80,0,80,2,scyther,arcanine
81,0,81,2,scyther,arcanine EX
82,0,82,2,scyther,rapidash
83,0,83,2,scyther,rapidash
84,0,84,2,scyther,flareon
85,0,85,2,scyther,flareon
86,0,86,2,scyther,flareon
87,0,87,2,scyther,flareon
88,0,88,2,scyther,slazzle
89,0,89,2,scyther,slazzle
90,0,90,2,scyther,centiskorch
91,0,91,2,scyther,golduck
92,0,92,2,scyther,tentacruel
93,0,93,2,scyther,dewgong
94,0,94,2,scyther,cloyster
95,0,95,2,scyther,kingler
96,0,96,1,scyther,seadra
97,0,97,2,scyther,seaking
98,0,98,2,scyther,starmie
99,0,99,2,scyther,starmie EX
100,0,100,2,scyther,gyarados
101,0,101,2,scyther,gyarados
102,0,102,2,scyther,vaporeon
103,0,103,2,scyther,vaporeon
104,0,104,2,scyther,vaporeon
105,0,105,2,scyther,vaporeon
106,0,106,2,scyther,swanna
107,0,107,2,scyther,frosmoth
108,0,108,2,scyther,raichu
109,0,109,2,scyther,raichu
110,0,110,2,scyther,electrode
111,0,111,2,scyther,electrode
112,0,112,1,scyther,jolteon
113,0,113,1,scyther,jolteon
114,0,114,1,scyther,jolteon
115,0,115,1,scyther,jolteon
116,0,116,2,scyther,zebstrika
117,0,117,2,scyther,heliolisk
118,0,118,2,scyther,clefable
119,0,119,2,scyther,slowbro
120,0,120,2,scyther,hypno
121,0,121,2,scyther,swoobat
122,0,122,2,scyther,golurk
123,0,123,2,scyther,sandslash
124,0,124,1,scyther,dugtrio
125,0,125,2,scyther,primape
126,0,126,2,scyther,primape
127,0,127,2,scyther,primape
128,0,128,1,scyther,marowak
129,0,129,2,scyther,marowak EX
130,0,130,2,scyther,mienshao
131,0,131,2,scyther,grapploct
132,0,132,2,scyther,arbok
133,0,133,2,scyther,golbat
134,0,134,2,scyther,muk
135,0,135,2,scyther,weezing
136,0,136,2,scyther,weezing
137,0,137,2,scyther,bisharp
138,0,138,2,scyther,melmetal
139,0,139,2,scyther,raticate
140,0,140,2,scyther,fearow
141,0,141,2,scyther,wigglytuff
142,0,142,2,scyther,wigglytuff
143,0,143,2,scyther,wigglytuff EX
144,0,144,2,scyther,wigglytuff EX
145,0,145,2,scyther,persian
146,0,146,2,scyther,dodrio
147,0,147,1,scyther,aerodactyl
148,0,148,1,scyther,cinccino
149,0,149,2,scyther,dubwool
150,0,150,2,scyther,marowak EX
151,0,151,2,scyther,exeggutor
152,0,152,2,scyther,exeggutor
153,0,153,2,scyther,shiinotic
154,0,154,2,scyther,rapidash
155,0,155,2,scyther,rapidash
156,0,156,2,scyther,volcarona
157,0,157,2,scyther,salazzle
158,0,158,2,scyther,salazzle
159,0,159,2,scyther,gyarados EX
160,0,160,2,scyther,gyarados EX
161,0,161,2,scyther,vaporeon
162,0,162,2,scyther,vaporeon
163,0,163,2,scyther,vaporeon
164,0,164,2,scyther,vaporeon
165,0,165,1,scyther,lumineon
166,0,166,1,scyther,lumineon
167,0,167,2,scyther,drednaw
168,0,168,2,scyther,raichu
169,0,169,2,scyther,raichu
170,0,170,2,scyther,galvantula
171,0,171,1,scyther,beheeyem
172,0,172,2,scyther,slurpuff
173,0,173,2,scyther,primape
174,0,174,2,scyther,primape
175,0,175,2,scyther,primape
176,0,176,2,scyther,aerodactyl EX
177,0,177,2,scyther,weezing
178,0,178,2,scyther,weezing
179,0,179,1,scyther,liepard
180,0,180,2,scyther,tangrowth
181,0,181,2,scyther,tangrowth
182,0,182,2,scyther,yanmega EX
183,0,183,2,scyther,roserade
184,0,184,2,scyther,kricketune
185,0,185,2,scyther,wormadam
186,0,186,2,scyther,vespiqueen
187,0,187,2,scyther,leafeon
188,0,188,2,scyther,leafeon
189,0,189,2,scyther,leafeon
190,0,190,2,scyther,leafeon
191,0,191,2,scyther,magmortar
192,0,192,2,scyther,magmortar
193,0,193,2,scyther,magmortar
194,0,194,2,scyther,magcargo
195,0,195,2,scyther,floatzel
196,0,196,2,scyther,gastrodon
197,0,197,2,scyther,lumineon
198,0,198,2,scyther,lumineon
199,0,199,2,scyther,abomasnow
200,0,200,2,scyther,glaceon
201,0,201,2,scyther,glaceon
202,0,202,2,scyther,glaceon
203,0,203,2,scyther,glaceon
204,0,204,2,scyther,electrode
205,0,205,2,scyther,electrode
206,0,206,2,scyther,electivire
207,0,207,2,scyther,electivire
208,0,208,2,scyther,electivire
209,0,209,2,scyther,mismagius EX
210,0,210,2,scyther,mismagius EX
211,0,211,2,scyther,drifblim
212,0,212,1,scyther,gliscor
213,0,213,2,scyther,wormadam
214,0,214,2,scyther,lucario
215,0,215,1,scyther,hippowdon
216,0,216,2,scyther,honchcrow
217,0,217,2,scyther,weavile EX
218,0,218,1,scyther,mightyena
219,0,219,2,scyther,skuntank
220,0,220,2,scyther,drapion
221,0,221,2,scyther,toxicroak
222,0,222,2,scyther,wormadam
223,0,223,2,scyther,bronzong
224,0,224,2,scyther,probopass
225,0,225,2,scyther,lickilicky EX
226,0,226,2,scyther,lickilicky EX
227,0,227,2,scyther,ambipom
228,0,228,2,scyther,bibarel
229,0,229,2,scyther,lopunny
230,0,230,2,scyther,purugly
231,0,231,2,scyther,Venusaur
232,0,232,2,scyther,Venusaur Ex
233,0,233,2,scyther,Butterfree
234,0,234,2,scyther,Beedrill
235,0,235,2,scyther,Vileplume
236,0,236,2,scyther,Vileplume
237,0,237,2,scyther,Vileplume
238,0,238,2,scyther,Vileplume
239,0,239,2,scyther,Victreebel
240,0,240,2,scyther,Charizard
241,0,241,2,scyther,Charizard Ex
242,0,242,2,scyther,Blastoise
243,0,243,2,scyther,Blastoise Ex
244,0,244,2,scyther,Poliwrath
245,0,245,2,scyther,Omastar
246,0,246,2,scyther,Greninja
247,0,247,2,scyther,Eelektross
248,0,248,2,scyther,Alakazam
249,0,249,2,scyther,Gengar
250,0,250,2,scyther,Gengar
251,0,251,2,scyther,Gengar Ex
252,0,252,2,scyther,Gengar Ex
253,0,253,2,scyther,Gardevoir
254,0,254,2,scyther,Gardevoir
255,0,255,2,scyther,Machamp
256,0,256,2,scyther,Machamp Ex
257,0,257,1,scyther,Golem
258,0,258,1,scyther,Golem
259,0,259,1,scyther,Golem
260,0,260,1,scyther,Golem
261,0,261,2,scyther,Kabutops
262,0,262,2,scyther,Nidoqueen
263,0,263,2,scyther,Nidoking
264,0,264,2,scyther,Dragonite
265,0,265,2,scyther,Pidgeot
266,0,266,2,scyther,Pidgeot
267,0,267,2,scyther,Pidgeot
268,0,268,2,scyther,Pidgeot
269,0,269,2,scyther,Serperior
270,0,270,2,scyther,Serperior
271,0,271,2,scyther,Florges
272,0,272,2,scyther,Golem
273,0,273,1,scyther,Golem
274,0,274,2,scyther,Golem
275,0,275,1,scyther,Golem
276,0,276,2,scyther,Scolipede
277,0,277,2,scyther,Pidgeot Ex
278,0,278,2,scyther,Pidgeot Ex
279,0,279,2,scyther,Pidgeot Ex
280,0,280,2,scyther,Pidgeot Ex
281,0,281,2,scyther,Bellossom
282,0,282,2,scyther,Bellossom
283,0,283,2,scyther,Bellossom
284,0,284,2,scyther,Bellossom
285,0,285,2,scyther,Torterra
286,0,286,2,scyther,Infernape Ex
287,0,287,2,scyther,Mamoswine
288,0,288,2,scyther,Empoleon
289,0,289,2,scyther,Magnezone
290,0,290,2,scyther,Magnezone
291,0,291,2,scyther,Magnezone
292,0,292,2,scyther,Magnezone
293,0,293,2,scyther,Luxray
294,0,294,2,scyther,Togekiss
295,0,295,2,scyther,Dusknoir
296,0,296,2,scyther,Rhyperior
297,0,297,2,scyther,Rhyperior
298,0,298,2,scyther,Rhyperior
299,0,299,2,scyther,Rhyperior
300,0,300,2,scyther,Rampardos
301,0,301,2,scyther,Gallade Ex
302,0,302,2,scyther,Gallade Ex
303,0,303,2,scyther,Bastidon
304,0,304,2,scyther,Garchomp
305,0,305,2,scyther,Porygon-Z
306,0,306,2,scyther,Porygon-Z
307,0,307,2,scyther,Staraptor
308,1,0,1,pinsir,scyther
309,1,1,1,pinsir,pinsir
310,1,2,1,pinsir,moltres
311,1,3,2,pinsir,moltres EX
312,1,4,2,pinsir,heatmor
313,1,5,1,pinsir,lapras
314,1,6,1,pinsir,articuno
315,1,7,2,pinsir,articuno EX
316,1,8,2,pinsir,pyukumuku
317,1,9,1,pinsir,bruxish
318,1,10,1,pinsir,pikachu EX
319,1,11,2,pinsir,zapdos
320,1,12,2,pinsir,zapdos EX
321,1,13,2,pinsir,pincurchin
322,1,14,1,pinsir,mr. mime
323,1,15,2,pinsir,jynx
324,1,16,1,pinsir,mewtwo
325,1,17,2,pinsir,mewtwo EX
326,1,18,1,pinsir,onix
327,1,19,1,pinsir,hitmonlee
328,1,20,2,pinsir,hitmonchan
329,1,21,1,pinsir,mawile
330,1,22,2,pinsir,farfech'd
331,1,23,2,pinsir,chancey
332,1,24,1,pinsir,kangaskhan
333,1,25,1,pinsir,tauros
334,1,26,1,pinsir,ditto
335,1,27,1,pinsir,snorlax
336,1,28,1,pinsir,mew
337,1,29,2,pinsir,celebi EX
338,1,30,2,pinsir,dhelmise
339,1,31,1,pinsir,cramorant
340,1,32,1,pinsir,dedenne
341,1,33,2,pinsir,mew EX
342,1,34,1,pinsir,sigilyph
343,1,35,2,pinsir,marshadow
344,1,36,2,pinsir,stonejourner
345,1,37,1,pinsir,druddigon
346,1,38,1,pinsir,tauros
347,1,39,1,pinsir,chatot
348,1,40,2,pinsir,carnivine
349,1,41,2,pinsir,mow rotom
350,1,42,2,pinsir,shaymin
351,1,43,2,pinsir,heat rotom
352,1,44,2,pinsir,regice
353,1,45,2,pinsir,wash rotom
354,1,46,1,pinsir,frost rotom
355,1,47,2,pinsir,palkia EX
356,1,48,1,pinsir,manaphy
357,1,49,1,pinsir,pachirisu EX
358,1,50,1,pinsir,rotom
359,1,51,1,pinsir,uxie
360,1,52,1,pinsir,mespirit
361,1,53,1,pinsir,azelf
362,1,54,1,pinsir,giratina
363,1,55,2,pinsir,cresselia
364,1,56,2,pinsir,himontop
365,1,57,1,pinsir,regirock
366,1,58,1,pinsir,spiritomb
367,1,59,1,pinsir,darkrai
368,1,60,2,pinsir,darkrai EX
369,1,61,1,pinsir,skarmory
370,1,62,2,pinsir,registeel
371,1,63,2,pinsir,dialga EX
372,1,64,2,pinsir,heatran
373,1,65,1,pinsir,chatot
374,1,66,1,pinsir,fan rotom
375,1,67,1,pinsir,regigigas
376,1,68,2,pinsir,lapras EX
377,1,69,1,pinsir,cresselia EX
378,1,70,2,pinsir,parasect
379,1,71,1,pinsir,venomoth
380,1,72,2,pinsir,exeggutor
381,1,73,2,pinsir,exeggutor
382,1,74,2,pinsir,exeggutor EX
383,1,75,2,pinsir,exeggutor EX
384,1,76,2,pinsir,whimsicott
385,1,77,1,pinsir,lilligant
386,1,78,1,pinsir,gogoat
387,1,79,2,pinsir,ninetales
388,1,80,2,pinsir,arcanine
389,1,81,2,pinsir,arcanine EX
390,1,82,2,pinsir,rapidash
391,1,83,2,pinsir,rapidash
392,1,84,1,pinsir,flareon
393,1,85,2,pinsir,flareon
394,1,86,2,pinsir,flareon
395,1,87,2,pinsir,flareon
396,1,88,2,pinsir,slazzle
397,1,89,2,pinsir,slazzle
398,1,90,1,pinsir,centiskorch
399,1,91,2,pinsir,golduck
400,1,92,1,pinsir,tentacruel
401,1,93,2,pinsir,dewgong
402,1,94,1,pinsir,cloyster
403,1,95,1,pinsir,kingler
404,1,96,1,pinsir,seadra
405,1,97,1,pinsir,seaking
406,1,98,2,pinsir,starmie
407,1,99,2,pinsir,starmie EX
408,1,100,2,pinsir,gyarados
409,1,101,1,pinsir,gyarados
410,1,102,2,pinsir,vaporeon
411,1,103,2,pinsir,vaporeon
412,1,104,2,pinsir,vaporeon
413,1,105,2,pinsir,vaporeon
414,1,106,1,pinsir,swanna
415,1,107,1,pinsir,frosmoth
416,1,108,1,pinsir,raichu
417,1,109,1,pinsir,raichu
418,1,110,1,pinsir,electrode
419,1,111,1,pinsir,electrode
420,1,112,1,pinsir,jolteon
421,1,113,1,pinsir,jolteon
422,1,114,1,pinsir,jolteon
423,1,115,1,pinsir,jolteon
424,1,116,1,pinsir,zebstrika
425,1,117,2,pinsir,heliolisk
426,1,118,2,pinsir,clefable
427,1,119,1,pinsir,slowbro
428,1,120,1,pinsir,hypno
429,1,121,2,pinsir,swoobat
430,1,122,1,pinsir,golurk
431,1,123,1,pinsir,sandslash
432,1,124,2,pinsir,dugtrio
433,1,125,2,pinsir,primape
434,1,126,2,pinsir,primape
435,1,127,1,pinsir,primape
436,1,128,1,pinsir,marowak
437,1,129,2,pinsir,marowak EX
438,1,130,1,pinsir,mienshao
439,1,131,2,pinsir,grapploct
440,1,132,1,pinsir,arbok
441,1,133,1,pinsir,golbat
442,1,134,1,pinsir,muk
443,1,135,2,pinsir,weezing
444,1,136,2,pinsir,weezing
445,1,137,2,pinsir,bisharp
446,1,138,2,pinsir,melmetal
447,1,139,1,pinsir,raticate
448,1,140,1,pinsir,fearow
449,1,141,2,pinsir,wigglytuff
450,1,142,1,pinsir,wigglytuff
451,1,143,1,pinsir,wigglytuff EX
452,1,144,1,pinsir,wigglytuff EX
453,1,145,1,pinsir,persian
454,1,146,1,pinsir,dodrio
455,1,147,1,pinsir,aerodactyl
456,1,148,1,pinsir,cinccino
457,1,149,1,pinsir,dubwool
458,1,150,2,pinsir,marowak EX
459,1,151,1,pinsir,exeggutor
460,1,152,2,pinsir,exeggutor
461,1,153,2,pinsir,shiinotic
462,1,154,2,pinsir,rapidash
463,1,155,2,pinsir,rapidash
464,1,156,2,pinsir,volcarona
465,1,157,2,pinsir,salazzle
466,1,158,2,pinsir,salazzle
467,1,159,1,pinsir,gyarados EX
468,1,160,1,pinsir,gyarados EX
469,1,161,1,pinsir,vaporeon
470,1,162,2,pinsir,vaporeon
471,1,163,1,pinsir,vaporeon
472,1,164,1,pinsir,vaporeon
473,1,165,1,pinsir,lumineon
474,1,166,1,pinsir,lumineon
475,1,167,2,pinsir,drednaw
476,1,168,1,pinsir,raichu
477,1,169,2,pinsir,raichu
478,1,170,2,pinsir,galvantula
479,1,171,1,pinsir,beheeyem
480,1,172,1,pinsir,slurpuff
481,1,173,2,pinsir,primape
482,1,174,2,pinsir,primape
483,1,175,2,pinsir,primape
484,1,176,2,pinsir,aerodactyl EX
485,1,177,2,pinsir,weezing
486,1,178,2,pinsir,weezing
487,1,179,2,pinsir,liepard
488,1,180,2,pinsir,tangrowth
489,1,181,2,pinsir,tangrowth
490,1,182,1,pinsir,yanmega EX
491,1,183,1,pinsir,roserade
492,1,184,1,pinsir,kricketune
493,1,185,1,pinsir,wormadam
494,1,186,2,pinsir,vespiqueen
495,1,187,2,pinsir,leafeon
496,1,188,2,pinsir,leafeon
497,1,189,2,pinsir,leafeon
498,1,190,2,pinsir,leafeon
499,1,191,1,pinsir,magmortar
500,1,192,1,pinsir,magmortar
501,1,193,2,pinsir,magmortar
502,1,194,2,pinsir,magcargo
503,1,195,2,pinsir,floatzel
504,1,196,2,pinsir,gastrodon
505,1,197,2,pinsir,lumineon
506,1,198,2,pinsir,lumineon
507,1,199,1,pinsir,abomasnow
508,1,200,2,pinsir,glaceon
509,1,201,2,pinsir,glaceon
510,1,202,2,pinsir,glaceon
511,1,203,1,pinsir,glaceon
512,1,204,1,pinsir,electrode
513,1,205,2,pinsir,electrode
514,1,206,2,pinsir,electivire
515,1,207,2,pinsir,electivire
516,1,208,2,pinsir,electivire
517,1,209,2,pinsir,mismagius EX
518,1,210,2,pinsir,mismagius EX
519,1,211,1,pinsir,drifblim
520,1,212,1,pinsir,gliscor
521,1,213,1,pinsir,wormadam
522,1,214,1,pinsir,lucario
523,1,215,1,pinsir,hippowdon
524,1,216,2,pinsir,honchcrow
525,1,217,2,pinsir,weavile EX
526,1,218,1,pinsir,mightyena
527,1,219,1,pinsir,skuntank
528,1,220,2,pinsir,drapion
529,1,221,2,pinsir,toxicroak
530,1,222,2,pinsir,wormadam
531,1,223,2,pinsir,bronzong
532,1,224,1,pinsir,probopass
533,1,225,1,pinsir,lickilicky EX
534,1,226,2,pinsir,lickilicky EX
535,1,227,1,pinsir,ambipom
536,1,228,2,pinsir,bibarel
537,1,229,1,pinsir,lopunny
538,1,230,2,pinsir,purugly
539,1,231,1,pinsir,Venusaur
540,1,232,1,pinsir,Venusaur Ex
541,1,233,2,pinsir,Butterfree
542,1,234,2,pinsir,Beedrill
543,1,235,2,pinsir,Vileplume
544,1,236,1,pinsir,Vileplume
545,1,237,2,pinsir,Vileplume
546,1,238,1,pinsir,Vileplume
547,1,239,2,pinsir,Victreebel
548,1,240,1,pinsir,Charizard
549,1,241,2,pinsir,Charizard Ex
550,1,242,2,pinsir,Blastoise
551,1,243,2,pinsir,Blastoise Ex
552,1,244,2,pinsir,Poliwrath
553,1,245,2,pinsir,Omastar
554,1,246,2,pinsir,Greninja
555,1,247,2,pinsir,Eelektross
556,1,248,1,pinsir,Alakazam
557,1,249,2,pinsir,Gengar
558,1,250,2,pinsir,Gengar
559,1,251,2,pinsir,Gengar Ex
560,1,252,2,pinsir,Gengar Ex
561,1,253,2,pinsir,Gardevoir
562,1,254,1,pinsir,Gardevoir
563,1,255,2,pinsir,Machamp
564,1,256,2,pinsir,Machamp Ex
565,1,257,1,pinsir,Golem
566,1,258,1,pinsir,Golem
567,1,259,1,pinsir,Golem
568,1,260,1,pinsir,Golem
569,1,261,2,pinsir,Kabutops
570,1,262,1,pinsir,Nidoqueen
571,1,263,2,pinsir,Nidoking
572,1,264,2,pinsir,Dragonite
573,1,265,2,pinsir,Pidgeot
574,1,266,2,pinsir,Pidgeot
575,1,267,2,pinsir,Pidgeot
576,1,268,2,pinsir,Pidgeot
577,1,269,2,pinsir,Serperior
578,1,270,2,pinsir,Serperior
579,1,271,2,pinsir,Florges
580,1,272,1,pinsir,Golem
581,1,273,1,pinsir,Golem
582,1,274,2,pinsir,Golem
583,1,275,1,pinsir,Golem
584,1,276,2,pinsir,Scolipede
585,1,277,2,pinsir,Pidgeot Ex
586,1,278,2,pinsir,Pidgeot Ex
587,1,279,2,pinsir,Pidgeot Ex
588,1,280,2,pinsir,Pidgeot Ex
589,1,281,2,pinsir,Bellossom
590,1,282,2,pinsir,Bellossom
591,1,283,2,pinsir,Bellossom
592,1,284,2,pinsir,Bellossom
593,1,285,2,pinsir,Torterra
594,1,286,2,pinsir,Infernape Ex
595,1,287,2,pinsir,Mamoswine
596,1,288,2,pinsir,Empoleon
597,1,289,2,pinsir,Magnezone
598,1,290,2,pinsir,Magnezone
599,1,291,1,pinsir,Magnezone
600,1,292,1,pinsir,Magnezone
601,1,293,1,pinsir,Luxray
602,1,294,2,pinsir,Togekiss
603,1,295,2,pinsir,Dusknoir
604,1,296,1,pinsir,Rhyperior
605,1,297,1,pinsir,Rhyperior
606,1,298,1,pinsir,Rhyperior
607,1,299,1,pinsir,Rhyperior
608,1,300,2,pinsir,Rampardos
609,1,301,2,pinsir,Gallade Ex
610,1,302,1,pinsir,Gallade Ex
611,1,303,2,pinsir,Bastidon
612,1,304,2,pinsir,Garchomp
613,1,305,2,pinsir,Porygon-Z
614,1,306,1,pinsir,Porygon-Z
615,1,307,2,pinsir,Staraptor
616,2,0,1,moltres,scyther
617,2,1,2,moltres,pinsir
618,2,2,2,moltres,moltres
619,2,3,2,moltres,moltres EX
620,2,4,1,moltres,heatmor
621,2,5,1,moltres,lapras
622,2,6,2,moltres,articuno
623,2,7,2,moltres,articuno EX
624,2,8,1,moltres,pyukumuku
625,2,9,2,moltres,bruxish
626,2,10,1,moltres,pikachu EX
627,2,11,2,moltres,zapdos
628,2,12,2,moltres,zapdos EX
629,2,13,2,moltres,pincurchin
630,2,14,1,moltres,mr. mime
631,2,15,2,moltres,jynx
632,2,16,1,moltres,mewtwo
633,2,17,2,moltres,mewtwo EX
634,2,18,1,moltres,onix
635,2,19,1,moltres,hitmonlee
636,2,20,1,moltres,hitmonchan
637,2,21,1,moltres,mawile
638,2,22,2,moltres,farfech'd
639,2,23,1,moltres,chancey
640,2,24,1,moltres,kangaskhan
641,2,25,2,moltres,tauros
642,2,26,1,moltres,ditto
643,2,27,1,moltres,snorlax
644,2,28,1,moltres,mew
645,2,29,2,moltres,celebi EX
646,2,30,1,moltres,dhelmise
647,2,31,1,moltres,cramorant
648,2,32,1,moltres,dedenne
649,2,33,2,moltres,mew EX
650,2,34,1,moltres,sigilyph
651,2,35,1,moltres,marshadow
652,2,36,1,moltres,stonejourner
653,2,37,1,moltres,druddigon
654,2,38,1,moltres,tauros
655,2,39,1,moltres,chatot
656,2,40,2,moltres,carnivine
657,2,41,1,moltres,mow rotom
658,2,42,1,moltres,shaymin
659,2,43,2,moltres,heat rotom
660,2,44,2,moltres,regice
661,2,45,1,moltres,wash rotom
662,2,46,1,moltres,frost rotom
663,2,47,2,moltres,palkia EX
664,2,48,1,moltres,manaphy
665,2,49,2,moltres,pachirisu EX
666,2,50,2,moltres,rotom
667,2,51,1,moltres,uxie
668,2,52,1,moltres,mespirit
669,2,53,1,moltres,azelf
670,2,54,1,moltres,giratina
671,2,55,2,moltres,cresselia
672,2,56,2,moltres,himontop
673,2,57,2,moltres,regirock
674,2,58,1,moltres,spiritomb
675,2,59,1,moltres,darkrai
676,2,60,2,moltres,darkrai EX
677,2,61,1,moltres,skarmory
678,2,62,1,moltres,registeel
679,2,63,2,moltres,dialga EX
680,2,64,2,moltres,heatran
681,2,65,1,moltres,chatot
682,2,66,1,moltres,fan rotom
683,2,67,1,moltres,regigigas
684,2,68,1,moltres,lapras EX
685,2,69,1,moltres,cresselia EX
686,2,70,1,moltres,parasect
687,2,71,2,moltres,venomoth
688,2,72,2,moltres,exeggutor
689,2,73,2,moltres,exeggutor
690,2,74,2,moltres,exeggutor EX
691,2,75,2,moltres,exeggutor EX
692,2,76,1,moltres,whimsicott
693,2,77,2,moltres,lilligant
694,2,78,1,moltres,gogoat
695,2,79,2,moltres,ninetales
696,2,80,2,moltres,arcanine
697,2,81,2,moltres,arcanine EX
698,2,82,2,moltres,rapidash
699,2,83,1,moltres,rapidash
700,2,84,1,moltres,flareon
701,2,85,1,moltres,flareon
702,2,86,1,moltres,flareon
703,2,87,1,moltres,flareon
704,2,88,2,moltres,slazzle
705,2,89,2,moltres,slazzle
706,2,90,1,moltres,centiskorch
707,2,91,2,moltres,golduck
708,2,92,2,moltres,tentacruel
709,2,93,1,moltres,dewgong
710,2,94,1,moltres,cloyster
711,2,95,1,moltres,kingler
712,2,96,1,moltres,seadra
713,2,97,2,moltres,seaking
714,2,98,2,moltres,starmie
715,2,99,2,moltres,starmie EX
716,2,100,1,moltres,gyarados
717,2,101,1,moltres,gyarados
718,2,102,1,moltres,vaporeon
719,2,103,1,moltres,vaporeon
720,2,104,1,moltres,vaporeon
721,2,105,1,moltres,vaporeon
722,2,106,1,moltres,swanna
723,2,107,1,moltres,frosmoth
724,2,108,1,moltres,raichu
725,2,109,1,moltres,raichu
726,2,110,1,moltres,electrode
727,2,111,1,moltres,electrode
728,2,112,1,moltres,jolteon
729,2,113,1,moltres,jolteon
730,2,114,1,moltres,jolteon
731,2,115,1,moltres,jolteon
732,2,116,2,moltres,zebstrika
733,2,117,2,moltres,heliolisk
734,2,118,2,moltres,clefable
735,2,119,1,moltres,slowbro
736,2,120,1,moltres,hypno
737,2,121,2,moltres,swoobat
738,2,122,1,moltres,golurk
739,2,123,2,moltres,sandslash
740,2,124,2,moltres,dugtrio
741,2,125,1,moltres,primape
742,2,126,1,moltres,primape
743,2,127,2,moltres,primape
744,2,128,2,moltres,marowak
745,2,129,2,moltres,marowak EX
746,2,130,2,moltres,mienshao
747,2,131,2,moltres,grapploct
748,2,132,2,moltres,arbok
749,2,133,1,moltres,golbat
750,2,134,1,moltres,muk
751,2,135,2,moltres,weezing
752,2,136,2,moltres,weezing
753,2,137,2,moltres,bisharp
754,2,138,1,moltres,melmetal
755,2,139,2,moltres,raticate
756,2,140,2,moltres,fearow
757,2,141,2,moltres,wigglytuff
758,2,142,2,moltres,wigglytuff
759,2,143,2,moltres,wigglytuff EX
760,2,144,1,moltres,wigglytuff EX
761,2,145,1,moltres,persian
762,2,146,2,moltres,dodrio
763,2,147,1,moltres,aerodactyl
764,2,148,1,moltres,cinccino
765,2,149,1,moltres,dubwool
766,2,150,2,moltres,marowak EX
767,2,151,1,moltres,exeggutor
768,2,152,1,moltres,exeggutor
769,2,153,2,moltres,shiinotic
770,2,154,2,moltres,rapidash
771,2,155,2,moltres,rapidash
772,2,156,1,moltres,volcarona
773,2,157,2,moltres,salazzle
774,2,158,2,moltres,salazzle
775,2,159,2,moltres,gyarados EX
776,2,160,1,moltres,gyarados EX
777,2,161,1,moltres,vaporeon
778,2,162,1,moltres,vaporeon
779,2,163,1,moltres,vaporeon
780,2,164,1,moltres,vaporeon
781,2,165,1,moltres,lumineon
782,2,166,1,moltres,lumineon
783,2,167,2,moltres,drednaw
784,2,168,1,moltres,raichu
